Order Number,Vendor Name,Order Date,Order Status,Last Receipt Number,Last Receipt Date,Last Invoice Number,Last Invoice Date,Completed Date,Item Code,Species,Item Description,Item Code Acronym,Unit of Measurement,Original Unit Cost,Last Unit Cost,Original Quantity,Revised Quantity,Received Quantity, Extensions Amount , Received Cost , Freight Cost , Sales Tax ,Comments
13187,"RTR Wood Products, Inc",10/1/2017,Completed,G000006,10/23/2017,0000406,10/20/2017,6/6/2018,BOTHIS1136S,HICKORY,,BOT,EACH,14.7,14.7,336,336,344," $4,939 "," $5,057 ",,  ,
13187,"RTR Wood Products, Inc",10/1/2017,Completed,G000006,10/23/2017,0000406,10/20/2017,6/6/2018,BOTHIS1142S,HICKORY,,BOT,EACH,17.15,17.15,168,168,180," $2,881 "," $3,087 ",,  ,
13187,"RTR Wood Products, Inc",10/1/2017,Completed,G000006,10/23/2017,0000406,10/20/2017,6/6/2018,BOTHIS1148S,HICKORY,,BOT,EACH,19.6,19.6,168,168,163," $3,293 "," $3,195 ",,  ,
13187,"RTR Wood Products, Inc",10/1/2017,Completed,G000006,10/23/2017,0000406,10/20/2017,6/6/2018,BOTHIS1184S,HICKORY,,BOT,EACH,34.29,34.29,30,30,30," $1,029 "," $1,029 ",,  ,
13187,"RTR Wood Products, Inc",10/1/2017,Completed,G000006,10/23/2017,0000406,10/20/2017,6/6/2018,BOTROS1136S,RED OAK (SELECT AND BETTER),,BOT,EACH,12.38,12.38,336,336,336," $4,160 "," $4,160 ",,  ,
13187,"RTR Wood Products, Inc",10/1/2017,Completed,G000006,10/23/2017,0000406,10/20/2017,6/6/2018,BOTROS1142S,RED OAK (SELECT AND BETTER),,BOT,EACH,14.86,14.86,168,168,168," $2,496 "," $2,496 ",,  ,
13187,"RTR Wood Products, Inc",10/1/2017,Completed,G000006,10/23/2017,0000406,10/20/2017,6/6/2018,BOTROS1148S,RED OAK (SELECT AND BETTER),,BOT,EACH,16.99,16.99,504,504,523," $8,563 "," $8,886 ",,  ,
13187,"RTR Wood Products, Inc",10/1/2017,Completed,G000006,10/23/2017,0000406,10/20/2017,6/6/2018,BOTROS1160S,RED OAK (SELECT AND BETTER),,BOT,EACH,21.23,21.23,168,168,175," $3,567 "," $3,715 ",,  ,
13168,"RTR Wood Products, Inc",10/1/2017,Completed,G000007,10/23/2017,0000405,10/20/2017,10/24/2017,BOTWOS1148S,WHITE OAK (SELECT AND BETTER),,BOT,EACH,19.9,19.9,7,7,8, $139 , $159 ,,  ,
13168,"RTR Wood Products, Inc",10/1/2017,Completed,G000007,10/23/2017,0000405,10/20/2017,10/24/2017,BOTWOS1160S,WHITE OAK (SELECT AND BETTER),,BOT,EACH,24.88,24.88,8,8,8, $199 , $199 ,,  ,
13168,"RTR Wood Products, Inc",10/1/2017,Completed,G000007,10/23/2017,0000405,10/20/2017,10/24/2017,BOTWOS1172S,WHITE OAK (SELECT AND BETTER),,BOT,EACH,29.86,29.86,16,16,16, $478 , $478 ,,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,BOTACS1136S,ACACIA,,BOT,EACH,10.84,10.84,500,500,264," $5,420 "," $2,862 ",,,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,BOTACS1142S,ACACIA,,BOT,EACH,12.78,12.78,400,400,198," $5,112 "," $2,530 ",,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,BOTACS1160S,ACACIA,,BOT,EACH,18.48,18.48,150,150,64," $2,772 "," $1,183 ",,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,BOTACS1172S,ACACIA,,BOT,EACH,22.19,22.19,150,150,140," $3,329 "," $3,107 ",,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,BOXACS1142S,ACACIA,,BOX,EACH,13.18,13.18,400,400,954," $5,272 "," $12,574 ",,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,BOXACS1148S,ACACIA,,BOX,EACH,15.2,15.2,300,300,510," $4,560 "," $7,752 ",,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,BOXACS1160S,ACACIA,,BOX,EACH,19.04,19.04,150,150,84," $2,856 "," $1,599 ",,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,BOXACS1172S,ACACIA,,BOX,EACH,22.88,22.88,150,150,92," $3,432 "," $2,105 ",,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,RISACS7536S,ACACIA,,RIS,EACH,6.01,6.01,192,192,192," $1,154 "," $1,154 ",,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,RISACS7542S,ACACIA,,RIS,EACH,7.14,7.14,400,400,588," $2,856 "," $4,198 ",,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,RISACS7548S,ACACIA,,RIS,EACH,8.28,8.28,174,174,174," $1,441 "," $1,441 ",,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,RISACS7560S,ACACIA,,RIS,EACH,10.4,10.4,100,100,78," $1,040 ", $811 ,,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,RISACS7572S,ACACIA,,RIS,EACH,12.5,12.5,100,100,78," $1,250 ", $975 ,,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,SRTACS11,ACACIA,,SRT,EACH,0.85,0.85,520,520,520, $442 , $442 ,,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,SRTBSC11,BAMBOO STRAND CARBONIZED,,SRT,EACH,1,1,240,240,240, $240 , $240 ,,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,SRXACS11,ACACIA,,SRX,EACH,1.63,1.63,520,520,520, $848 , $848 ,,  ,
18434,CFFCO USA INC,10/1/2017,Active,G000017,10/26/2017,7600,10/26/2017,,SRXBSC11,BAMBOO STRAND CARBONIZED,,SRX,EACH,1.998,1.998,560,560,560," $1,119 "," $1,119 ",,  ,
13154,"RTR Wood Products, Inc",10/1/2017,Completed,G000027,11/1/2017,0000401,10/31/2017,10/31/2017,BOTBCS1148S,BRAZILIAN CHERRY (JATOBA),,BOT,EACH,35.87,35.87,225,225,233," $8,071 "," $8,358 ",,  ,
13154,"RTR Wood Products, Inc",10/1/2017,Completed,G000027,11/1/2017,0000401,10/31/2017,10/31/2017,BOTBCS1172S,BRAZILIAN CHERRY (JATOBA),,BOT,EACH,53.81,53.81,30,30,40," $1,614 "," $2,152 ",,  ,
13154,"RTR Wood Products, Inc",10/1/2017,Completed,G000027,11/1/2017,0000401,10/31/2017,10/31/2017,BOTTIS1142S,TIGERWOOD (KOA),,BOT,EACH,34.93,34.93,80,80,96," $2,794 "," $3,353 ",,  ,
13154,"RTR Wood Products, Inc",10/1/2017,Completed,G000027,11/1/2017,0000401,10/31/2017,10/31/2017,BOTTIS1148S,TIGERWOOD (KOA),,BOT,EACH,40.03,40.03,168,168,197," $6,725 "," $7,886 ",,  ,
13166,"RTR Wood Products, Inc",10/3/2017,Completed,G000005,10/23/2017,0000407,10/20/2017,10/24/2017,BOTWOS1160S,WHITE OAK (SELECT AND BETTER),,BOT,EACH,24.88,24.88,19,19,19, $473 , $473 ,,  ,
13166,"RTR Wood Products, Inc",10/3/2017,Completed,G000005,10/23/2017,0000407,10/20/2017,10/24/2017,BOTWOS1172S,WHITE OAK (SELECT AND BETTER),,BOT,EACH,29.86,29.86,8,8,8, $239 , $239 ,,  ,
13166,"RTR Wood Products, Inc",10/3/2017,Completed,G000005,10/23/2017,0000407,10/20/2017,10/24/2017,RISWOS7548S,WHITE OAK (SELECT AND BETTER),,RIS,EACH,11.68,11.68,82,82,82, $958 , $958 ,,  ,
13194,Larger Than Life,10/3/2017,Completed,G000072,10/25/2017,A001645,10/25/2017,10/31/2017,VIRLAM-00021,LAMINATE (HDF),,VIR,EACH,0.28,0.283,1470,1470,1470, $416 , $416 , $237.04 ,  ,
13194,Larger Than Life,10/3/2017,Completed,G000072,10/25/2017,A001645,10/25/2017,10/31/2017,VIRLAM-00023,LAMINATE (HDF),,VIR,EACH,0.28,0.283,1470,1470,1470, $416 , $416 , $237.04 ,  ,
13194,Larger Than Life,10/3/2017,Completed,G000072,10/25/2017,A001645,10/25/2017,10/31/2017,VIRLAM-00024,LAMINATE (HDF),,VIR,EACH,0.28,0.283,1420,1420,1420, $402 , $402 , $237.04 ,  ,
13194,Larger Than Life,10/3/2017,Completed,G000072,10/25/2017,A001645,10/25/2017,10/31/2017,VIRLAM-00085,LAMINATE (HDF),Vinyl Riser for  - Acacia,VIR,EACH,0.28,0.283,1460,1460,1460, $413 , $413 , $237.04 ,  ,
